id,title,main_story,main_plus_extras,completionist,developers,publishers,platforms,genres
6584,Ni no Kuni: Shikkoku no Madoshi,37.5,50,150,"Level-5, Studio Ghibli","Level-5, Namco Bandai","Nintendo DS, PlayStation 3",Role-playing
6585,Ni no Kuni: Wrath of the White Witch,45.5,56.5,93.5,"Level-5, Studio Ghibli",Namco Bandai,"PlayStation 3, Xbox 360",Role-Playing
6589,Nicktoons Unite!,5,13,20.5,"Blue Tongue Entertainment, Sega (PS2/GC), Climax Group (GBA/DS)",THQ,"Game Boy Advance, Nintendo DS, Nintendo GameCube, PlayStation 2","Action, Adventure"
21300,Nicktoons: Attack of the Toybots,7,8.5,10,"Blue Tongue Entertainment, Natsume, Firemint",THQ,"Nintendo DS, PlayStation 2, Wii",Action
46284,Nidhogg 2,0.4,0.5,4,Messhof,Messhof,"Nintendo Switch, PC, PlayStation 4","Side, Scrolling, Action, Fighting"
6591,Nier,20.5,35.5,67,Cavia,Square Enix,"PlayStation 3, Xbox 360","Action, Role-Playing"
38029,Nier: Automata,20.5,37.5,60.5,PlatinumGames,Square Enix,"PC, PlayStation 4, Xbox One","Third-Person, Action, Role-Playing"
56051,Nier: Automata - 3C3C1D119440927,2,3,4.5,PlatinumGames,Square Enix,PlayStation 4,"Third-Person, Action, Hack and Slash, Role-Playing"
6594,Night Trap,0.683333333,2.5,3,Digital Pictures,Various,"Nintendo Switch, PC, PlayStation 4, Sega CD",Survival Horror
6597,Nightmare Creatures,7,8,13,Kalisto Entertainment,"Activision, SCEE, SCEI","Nintendo 64, PC, PlayStation",Survival Horror
6599,Nightmare House 2,2.5,3,4,We Create Stuff,We Create Stuff,PC,First Person Shooter
18120,Nightmares from the Deep 2: The Siren's Call,3.5,5,7,Artifex Mundi,G5 Entertainment,"PC, Xbox One",Hidden Object
23869,Nightmares from the Deep 3: Davy Jones,4,5,7,Artifex Mundi,Artifex Mundi,PC,"First-Person, Point-and-Click, Hidden Object, Puzzle"
12621,Nightmares from the Deep: The Cursed Heart,3.5,4.5,6,Artifex Mundi,Artifex Mundi,"PC, PlayStation 4, Xbox One","First-Person, Point-and-Click, Adventure, Hidden Object, Puzzle"
6601,NiGHTS into Dreams...,2.5,4.5,5.5,"Sonic Team, Sega Studio China",Sega,"PC, PlayStation 2, PlayStation 3, Sega Saturn, Xbox 360",Platform
35284,Nights of Azure,16.5,24.5,50.5,Gust,Koei Tecmo,"PC, PlayStation 4","Third-Person, Role-Playing"
43231,Nights of Azure 2: Bride of the New Moon,13.5,26,54.5,Koei Tecmo Games,Koei Tecmo Games,"Nintendo Switch, PC, PlayStation 4",Role-Playing
47019,Nightshade (2017),15.5,20.5,28,"Red Entertainment, LANTERN ROOMS",D3 Publisher,PC,"Text, Visual Novel"
6607,NightSky,2.5,3.5,6,Nicalis,Nicalis,"Linux, Nintendo 3DS, PC","Strategy, Indie, Casual"
27435,Niko: Through the Dream,4.5,5,5,Studio Paint,Studio Paint,PC,Adventure
6609,Nikopol: Secrets of the Immortals,4,4,5,White Birds Productions,Got Game Entertainment,PC,Adventure
6610,Nimbus,3.5,11,17,Noumenon Games,Noumenon Games,PC,"Indie, Racing"
51393,Nine Parchments,7.5,8,17.5,Frozenbyte,Frozenbyte,"Nintendo Switch, PC","Action, Role-Playing"
6612,Ninety-Nine Nights,4.5,14,38,"Q Entertainment, Phantagram",Microsoft Game Studios,Xbox 360,"Hack and slash, Action"
6613,Ninety-Nine Nights II,5,10.5,12,"Q Entertainment, feelplus",Konami,Xbox 360,"Hack and slash, RPG"
6616,Ninja Blade,9,9,9,"From Software, Noviy Disk (Win)",Microsoft Games Studios,"PC, Xbox 360",Action game
6618,Ninja Five-O,2,2.5,5,Hudson Soft,Nintendo,Game Boy Advance,Side-Scroller
6621,Ninja Gaiden (1989),2.5,3,3.5,"Tecmo, Hudson Soft",Tecmo,"NES/Famicom, Nintendo 3DS, Nintendo Switch, PC, Super Nintendo/Famicom, Wii, Wii U",Platform
6619,Ninja Gaiden (2004),18.5,24.5,35,Team Ninja,Tecmo,"Xbox, Xbox 360","Action, Adventure"
6623,Ninja Gaiden 3: Razor's Edge,8,11.5,29.5,Team Ninja,Tecmo Koei,"PlayStation 3, Wii U, Xbox 360","Action, Adventure, Hack and Slash"
6624,Ninja Gaiden Black,15.5,26.5,51.5,Team Ninja,Tecmo,"Xbox, Xbox 360, Xbox One",Action-adventure
6626,Ninja Gaiden II (2008),14,18,27,Team Ninja,Microsoft,"PlayStation 3, Xbox 360","Action-adventure, hack and slash"
6628,Ninja Gaiden III: The Ancient Ship of Doom,2.5,3,14,Tecmo,Tecmo,"NES/Famicom, Nintendo 3DS, Super Nintendo/Famicom","Action, Platform"
6630,Ninja Gaiden Sigma,14,16,17.5,Team Ninja,"Tecmo, EU: Eidos Interactive",PlayStation 3,Action-adventure
6632,Ninja Gaiden Sigma Plus,12.5,13.5,24.5,Team Ninja,Tecmo,PlayStation Vita,"Action, Adventure"
27864,Ninja Pizza Girl,2,4.5,10,Disparity Games,Disparity Games,"PC, Xbox One",Action
31537,Ninja Saga,0.5,0.75,1,EMAGIST,EMAGIST,Browser,Role-Playing
34875,Ninja Senki DX,3.5,4,11.5,Tribute Games,Tribute Games,"PC, PlayStation 4",Platform
6643,Ninjatown,14.5,15.5,20,Venan Entertainment,SouthPeak Interactive,Nintendo DS,Real-time strategy
6644,Nintendo Land,10,21,43,Nintendo EAD,Nintendo,Wii U,Party
6646,Nintendogs,26,32,106,Nintendo EAD,Nintendo,"Nintendo 2DS, Nintendo 3DS, Nintendo DS",Pet-raising simulation
6647,Nintendogs + Cats,14,25.5,47.5,Nintendo EAD,Nintendo,Nintendo 3DS,Simulation
36936,Nioh,35,61.5,91,Team Ninja,Koei Tecmo,"PC, PlayStation 4","Third-Person, Action, Role-Playing"
50087,Nioh - Bloodshed's End DLC,5.5,10.5,12,Team Ninja,Koei Tecmo,"PC, PlayStation 4","Third-Person, Action, Role-Playing"
47796,Nioh - Defiant Honor DLC,5.5,9.5,12,Team Ninja,Koei Tecmo,"PC, PlayStation 4","Action, Role-Playing"
50419,Nioh: Complete Edition,46,83,137,Koei Tecmo Games,Koei Tecmo Games,"PC, PlayStation 4","Action, Role-Playing"
34062,Nitroplus Blasterz: Heroines Infinite Duel,2,3,11,Examu,"Nitroplus, Marvelous","PC, PlayStation 4",Fighting
20074,No Man's Sky,30.5,57.5,86.5,Hello Games,Hello Games,"PC, PlayStation 4","Action, Adventure, Survival"
6653,No More Heroes,10.5,14,21,Grasshopper Manufacture,"JP: Marvelous Entertainment, NA: Ubisoft, EU: Rising Star Games","Wii, Wii U","Third-Person, Real-Time, Action, Hack and Slash"
6654,No More Heroes 2: Desperate Struggle,8.5,11,15,Grasshopper Manufacture,"JP: Marvelous Entertainment, NA: Ubisoft, EU: Rising Star Games","Wii, Wii U","Action, hack and slash"
6655,No More Heroes: Heroes' Paradise,12.5,16.5,25,"Grasshopper Manufacture, feelplus, AQ Interactive","JP: Marvelous Entertainment, NA/EU: Konami",PlayStation 3,"Action-adventure, Hack and slash"
33631,No One But You,4,12,17,Unwonted Studios,"Unwonted Studios, Sekai Project",PC,Visual Novel
6657,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,11.5,15,20.5,Monolith Productions,Sierra Entertainment,PC,"First-person shooter, Stealth"
37518,NO THING,2.5,6,7,Evil Indie Games,Evil Indie Games,"Nintendo Switch, PC","Action, Adventure"
6658,No Time To Explain,2.5,3,7,tinyBuildGames,tinyBuildGames,"PC, PlayStation 4, Xbox One",Platform
6665,Noby Noby Boy,0.916666667,1,1.5,Namco Bandai,Namco Bandai,PlayStation 3,"Third-Person, Action"
6669,Noitu Love 2: Devolution,1.5,3,5.5,Fallen Angel Industries,Fallen Angel Industries,"Nintendo 3DS, PC","Action, Adventure"
18230,Nom Nom Galaxy,17.5,20,24.5,Q-Games,Q-Games,"PC, PlayStation 4","Action, Sandbox"
45738,Nongunz,20,30,32,Brainwash Gang,Sindiecate Arts,PC,"Action, Platform"
62413,Nonogram - Master's Legacy,0.25,1.5,16,Konstructors Entertainment,Konstructors Entertainment,PC,Puzzle
28812,Norn9: Var Commons,30,36,39,Otomate,Aksys Games,PlayStation Vita,Adventure
37078,NORTH,1,1,1,Outlands,Sometimes You,"Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",Adventure
40006,Northgard,14,32.5,67.5,Shiro Games,Shiro Games,PC,"City-Building, Strategy"
12439,Nosferatu: The Wrath of Malachi,4,8,15,Idol FX,iGames Publishing,PC,"First-Person, Shooter"
6675,Nostalgia,26.5,29,48,"Matrix Software, Red Entertainment","JP: Tecmo, NA: Ignition Entertainment",Nintendo DS,Role-playing
25034,Not A Hero,5,5.5,10,Roll7,Devolver Digital,"PC, PlayStation 4",Shooter
32660,Notch: The Innocent LunA - Eclipsed SinnerS,7.5,8,10,"Angels Blue Digital Entertainment, DEZ Studio",DEZ Studio,PC,Visual Novel
27260,NotTheNameWeWanted,0.816666667,2.5,5,Not Games,Not Games,PC,Top-Down
30325,Nova-111,6,6.5,7,Funktronic Labs,Funktronic Labs,"PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U","Action, Adventure"
6678,Nox,14.5,33.5,43.5,Westwood Studios,Electronic Arts,PC,"Action, role-playing"
14291,Nuclear Throne,16,58.5,174,Vlambeer,Vlambeer,PC,"Top-Down, Action, Roguelike, Role-Playing"
19545,Numba,3,3,4.5,Cobra Mobile,KISS,PC,Puzzle
6684,Numen: Contest of Heroes,15.5,16.5,23,Cinemax,Cinemax,PC,"Third-Person, Action, Adventure"
38941,Nurse Love Addiction,13,18.5,24.5,KOGADO STUDIO,Degica,"PC, PlayStation Vita",Visual Novel
29832,Nyctophobia,0.45,0.666666667,1.5,Lightning Man Media,Lightning Man Media,PC,"Adventure, Survival Horror"
6687,NyxQuest: Kindred Spirits,3.5,4,6.5,Over The Top Games,Over The Top Games,"PC, Wii","Action, Adventure, Platform"
38231,Obduction,12,16,17,Cyan,Cyan,PC,"Adventure, Puzzle"
28942,Oblitus,0.666666667,2,4,Connor Ullmann,Adult Swim Games,PC,"Action, Adventure"
6692,ObsCure,6,7.5,7.5,Hydravision Entertainment,DreamCatcher Interactive,"PC, PlayStation 2, Xbox",Survival Horror
38127,Observer,7,8.5,9.5,Bloober Team,Aspyr,"PC, PlayStation 4, Xbox One",Adventure
6695,Obulis,4,5.5,9.5,Meridian4,Meridian4,PC,Puzzle
14980,Oceanhorn: Monster of Uncharted Seas,9.5,11,16,Cornfox & Brothers,FDG Entertainment,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",Adventure
6696,Octodad,1,1.5,3,The DePaul Gaming Experience,The DePaul Gaming Experience,PC,Simulation
16380,Octodad: Dadliest Catch,2.5,3.5,7,Young Horses,Young Horses,"PC, Nintendo Switch, PlayStation 4, PlayStation Vita, Wii U, Xbox One","Real-Time, Action, Adventure"
53592,Octopath Traveler,59,76,99,"Square Enix, Acquire","Nintendo, Square Enix",Nintendo Switch,"Turn-Based, Role-Playing"
22545,Odallus: The Dark Call,5.5,7,9.5,JoyMasher,JoyMasher,PC,"Action, Adventure, Platform"
6700,Oddworld: Abe's Exoddus,15,15,15.5,"Oddworld Inhabitants, Digital Dialect (PC port)",GT Interactive,"PC, PlayStation",Cinematic platformer
6701,Oddworld: Abe's Oddysee,13,14,15,"Oddworld Inhabitants, Digital Dialect, Saffire, Just Add Water",GT Interactive,"PC, PlayStation, PlayStation 3","Side, Scrolling, Platform, Puzzle"
6702,Oddworld: Munch's Oddysee,12,15,15.5,"Oddworld Inhabitants, TechInform, Just Add Water",Microsoft Game Studios,"PC, PlayStation 3, PlayStation Vita, Xbox",Platform
20113,Oddworld: New 'n' Tasty!,7,8.5,11,Just Add Water,Oddworld Inhabitants,"PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox One","Scrolling, Platform, Puzzle"
6703,Oddworld: Stranger's Wrath,11.5,16,28.5,"Oddworld Inhabitants, Just Add Water",Electronic Arts,"PC, PlayStation 3, PlayStation Vita, Xbox","First-Person, Third-Person, Action, Adventure"
6706,Odin Sphere,39.5,45,62.5,Vanillaware,"Atlus, PAL: Square Enix","PlayStation 2, PlayStation 3, PlayStation 4","Action, Hack and Slash, Role-Playing"
29200,Odin Sphere: Leifthrasir,30.5,32.5,41,Vanillaware,Atlus,"PlayStation 3, PlayStation 4, PlayStation Vita","Side, Scrolling, Action, Role-Playing"
59245,Odysseus Kosmos and his Robot Quest - Episode 1,2.5,3,3,Pavel Kostin,HeroCraft,PC,"Point-and-Click, Adventure"
6710,Of Orcs and Men,12.5,14.5,21.5,"Cyanide, Spiders",Focus Home Interactive,"PC, PlayStation 3, Xbox 360",Role-Playing
32741,Off-Peak,0.366666667,0.633333333,0.75,Cosmo D Studios,Cosmo D Studios,PC,Adventure
6715,Offspring Fling,2.5,4,12.5,Kyle Pulver,Kyle Pulver,"Mac, PC","Platform, Puzzle"
6716,Ogre Battle 64: Person of Lordly Caliber,38.5,53.5,150,"Quest, Dual Corporation","JP: Nintendo, NA: Atlus",Nintendo 64,"Strategy RPG, Real-time strategy"
6717,Ogre Battle: The March of the Black Queen,14,22,62.5,Quest,"JP: Quest (Super Famicom), NA: Enix America Corporation (Super NES), JP: Riverhill Software (Saturn), JP: Artdink (Play","PlayStation, Super Nintendo","Strategy RPG, Real-time strategy"
32856,OH! RPG!,5,7.5,8.5,RosePortal Games,Aldorlea Games,PC,Role-Playing
46971,Oh...Sir! The Hollywood Roast,1,1.5,2,Vile Monarch,Gambitious Digital Entertainment,PC,Simulation
40943,Oh...Sir!! The Insult Simulator,1,6,29,Vile Monarch,Gambitious Digital Entertainment,"Mac, PC",Party
6721,Oil Rush,9.5,10.5,14.5,Unigine Corp,Unigine Corp,PC,Strategy
6724,Okage: Shadow King,26.5,31,31,Zener Works,Sony Computer Entertainment,"PlayStation 2, PlayStation 4","Turn-Based, Role-Playing"
